name,address,specialty
美仕媞時尚醫美診所,臺北市松山區敦化北路244巷33號1樓,"整形外科,"
麗得醫美整形外科診所,臺北市松山區南京東路5段1號5樓,"整形外科,"
基督復臨安息日會醫療財團法人臺安醫院,"臺北市松山區八德路二段424,426號","家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,精神科,復健科,麻醉科,放射診斷科,解剖病理科,急診醫學科,整形外科,職業醫學科,牙醫一般科,"
長庚醫療財團法人台北長庚紀念醫院,臺北市松山區敦化北路199號、197號、臺北市松山區敦化北路199巷6號,"家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,精神科,復健科,麻醉科,放射診斷科,放射腫瘤科,解剖病理科,核子醫學科,急診醫學科,整形外科,西醫一般科,牙醫一般科,中醫一般科,"
英爵聯合診所,臺北市松山區南京東路3段331號2樓,"皮膚科,"
三軍總醫院松山分院附設民眾診療服務處,臺北市松山區健康路１３１號,"家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,精神科,復健科,麻醉科,放射診斷科,解剖病理科,臨床病理科,急診醫學科,牙醫一般科,"
佳思優醫美整形診所,臺北市松山區敦化北路8號1樓(1、2層),"整形外科,"
尚安診所,臺北市松山區復興北路331號4樓,"皮膚科,"
安德森整形外科診所,臺北市松山區復興北路337號3樓,"外科,整形外科,"
雷湘安皮膚科診所,臺北市松山區三民路43巷1號,"皮膚科,"
傑尼斯時尚醫美整形外科診所,臺北市松山區南京東路五段230號3樓之7、3樓之8,"整形外科,"
博仁綜合醫院,臺北市松山區光復北路66號、68號地下一層、68號、68號2至7樓、68號2樓之1至7樓之1、68號2樓之2至7樓之2,"家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,泌尿科,耳鼻喉科,眼科,皮膚科,精神科,復健科,麻醉科,放射診斷科,急診醫學科,職業醫學科,西醫一般科,牙醫一般科,"
張國華整形外科診所,臺北市松山區南京東路五段34號2樓,"整形外科,"
